name,address,lat,lng,rating,reviews,genre,since_2016,opened,url
むらさき山,東京都港区芝5-23-8,35.64790033792538,139.74619498290016,3.66,,"三田駅, 東京, ラーメン, つけ麺, 中華料理",存続,,https://tabelog.com/tokyo/A1314/A131402/13046911/
博多一瑞亭 三田店,東京都港区芝5-14-1マック三田コート102,35.648785637924405,139.74491408291001,3.54,,"三田駅, 東京, ラーメン",存続,,https://tabelog.com/tokyo/A1314/A131402/13207849/
日高屋 田町東口店,東京都港区芝浦3-1なぎさテラス 2F,35.644860438733424,139.7485421140296,3.05,,"田町駅, 東京, ラーメン, 中華料理",新規,2018年5月17日,https://tabelog.com/tokyo/A1314/A131402/13221757/
品川家 三田店,東京都港区芝5-31-3,35.64675437873137,139.74588928405058,3.29,,"田町駅, 東京, ラーメン",新規,,https://tabelog.com/tokyo/A1314/A131402/13184643/
楽喜亭,東京都港区芝3-42-71F,35.65057785146726,139.74597963814574,3.27,,"三田駅, 東京, ラーメン, 担々麺, カレー",新規,,https://tabelog.com/tokyo/A1314/A131402/13161927/
麺屋武蔵 道貫,東京都港区芝5-14-14ビジデンス三慶 1F,35.64820488873013,139.74485592406597,3.06,,"三田駅, 東京, ラーメン",新規,2025年7月27日,https://tabelog.com/tokyo/A1314/A131402/13312259/
壱角家 田町店,東京都港区芝浦3-7-15チトセビル,35.64364091873443,139.7492661640168,3.08,,"田町駅, 東京, ラーメン",存続,,https://tabelog.com/tokyo/A1314/A131402/13184565/
玉 田町店,東京都港区芝浦3-1-1msb Tamachi 田町ステーションタワーN 1F,35.64572925873322,139.7496489840376,3.44,,"田町駅, 東京, ラーメン",新規,2020年9月1日,https://tabelog.com/tokyo/A1314/A131402/13250431/
麻布ラーメン 芝四丁目店,東京都港区芝4-5-15,35.6485423157738,139.75055490744543,3.29,,"三田駅, 東京, ラーメン, 餃子",存続,,https://tabelog.com/tokyo/A1314/A131402/13106016/
つけ麺屋 やすべえ 田町店,東京都港区芝5-33-11田町タワー2F,35.6468577687322,139.74870399404966,3.12,,"三田駅, 東京, つけ麺, ラーメン",新規,2024年7月23日,https://tabelog.com/tokyo/A1314/A131402/13299347/
日高屋 田町西口店,東京都港区芝5-31-15センチュリー三田ビル 1F・2F,35.64673745873154,139.74639542405006,3.08,,"田町駅, 東京, ラーメン, 中華料理, 食堂",新規,2014年5月27日,https://tabelog.com/tokyo/A1314/A131402/13168916/
らぁ麺 六花,東京都港区芝5-29-5山田ビル 1F,35.64731678958302,139.74473155861054,3.53,,"田町駅, 東京, ラーメン, つけ麺",新規,2021年3月14日,https://tabelog.com/tokyo/A1314/A131402/13257153/
伍福軒 田町店,東京都港区芝5-17-11,35.648485428730545,139.7467465440675,3.31,,"三田駅, 東京, ラーメン",新規,2025年7月15日,https://tabelog.com/tokyo/A1314/A131402/13311459/
貝そば もぉむ,東京都港区芝浦4-2-22東京ベイビュウ 1F,35.64092793792927,139.74451408283093,3.56,,"泉岳寺駅, 東京, ラーメン",新規,2022年8月20日,https://tabelog.com/tokyo/A1314/A131402/13275701/
MISO HANAMICHI 三田店,東京都港区三田3-1-13石田ビル 1F,35.64744413873042,139.74426638405868,3.4,,"田町駅, 東京, ラーメン",新規,2025年12月10日,https://tabelog.com/tokyo/A1314/A131402/13316689/
威風 三田店,東京都港区芝5-26-10,35.64772223792562,139.7465921828981,3.13,,"三田駅, 東京, ラーメン",新規,,https://tabelog.com/tokyo/A1314/A131402/13271024/
斬鉄軒,東京都港区芝浦2-12-5,35.64351847077351,139.75247680579525,3.26,,"田町駅, 東京, ラーメン, おでん, 居酒屋",新規,,https://tabelog.com/tokyo/A1314/A131402/13050050/
広州市場 田町店,東京都港区芝浦3-1-21田町ステーションタワーS（ムスブ田町）1F,35.64488331873355,139.7489970140295,3.49,,"田町駅, 東京, ラーメン, 餃子",新規,2018年11月15日,https://tabelog.com/tokyo/A1314/A131402/13228436/
もとまる,東京都港区芝5-31-7三田ステーションビル 1F,35.646880837926155,139.74665058288957,3.49,,"田町駅, 東京, ラーメン",新規,,https://tabelog.com/tokyo/A1314/A131402/13247106/
舎鈴 田町駅前店,東京都港区芝5-34-7田町センタービル 106,35.64623867873203,139.74693065404466,3.25,,"田町駅, 東京, つけ麺, 油そば・まぜそば, ラーメン",新規,2016年8月7日,https://tabelog.com/tokyo/A1314/A131402/13199249/
えっちゃんラーメン。,東京都港区芝浦3-1-30なぎさテラス 1F,35.64445603792835,139.7487097828636,3.62,,"田町駅, 東京, ラーメン, つけ麺",新規,2020年10月8日,https://tabelog.com/tokyo/A1314/A131402/13251769/
横浜家系らーめん 武源家,東京都港区三田3-1-2北村ビル 1F,35.64782160872981,139.74310618406332,3.55,,"三田駅, 東京, ラーメン",存続,,https://tabelog.com/tokyo/A1314/A131402/13180759/
ラーメン二郎 三田本店,東京都港区三田2-16-4,35.64806863792381,139.74164148290507,3.77,,"田町駅, 東京, ラーメン",存続,,https://tabelog.com/tokyo/A1314/A131402/13006051/
やっとこ 三田店,東京都港区三田3-1-1,35.647832478729754,139.74295806406354,3.51,,"三田駅, 東京, ラーメン, つけ麺, 居酒屋",存続,,https://tabelog.com/tokyo/A1314/A131402/13158832/
らぁ麺 はやし田 田町芝浦店,東京都港区芝浦3-12-18バウパレス 1F,35.64281716873495,139.74926546400846,3.06,,"田町駅, 東京, ラーメン",新規,2025年7月10日,https://tabelog.com/tokyo/A1314/A131402/13311621/
寿限無 担々麺 三田店,東京都港区三田3-3-4橋本ビル 1F,35.6471690102431,139.7437372035512,3.36,,"田町駅, 東京, ラーメン",新規,2025年3月13日,https://tabelog.com/tokyo/A1314/A131402/13306990/
大総家,東京都港区芝5-24-12,35.64791593873039,139.74512278406286,3.52,,"三田駅, 東京, ラーメン",新規,2025年1月11日,https://tabelog.com/tokyo/A1314/A131402/13305450/
田中そば店 田町タワー店,東京都港区芝5-33-11田町タワー2F,35.647211148732,139.7487455540532,3.49,,"三田駅, 東京, ラーメン",新規,2023年10月2日,https://tabelog.com/tokyo/A1314/A131402/13289621/
君子麻婆麺 三田店,東京都港区三田3-4-10リーラヒジリザカ 1F,35.64694153873061,139.74385538405392,,,"田町駅, 東京, ラーメン",新規,,https://tabelog.com/tokyo/A1314/A131402/13271538/
香家 三田店,東京都港区三田2-14-9,35.648382908729886,139.74445834406805,3.43,,"三田駅, 東京, 担々麺, 汁なし担々麺, 飲茶・点心",存続,,https://tabelog.com/tokyo/A1314/A131402/13048576/
